TimeStamp,Name,CPU_CORES,CPU_CORES_LOG,CPU_FREQ,RAM_TOTAL_GB,RAM_AV_GB,RAM_USED_GB,SWAP_TOTAL_GB,SWAP_USED_GB,CPU%,RAM%,RC,WC,RB,WB,dt,PRED
23:10:27:14:26:09,SS_ResNet101,4,4,2808.004,11.68,7.22,4.04,0.95,0.0,39.0344827586207,36.06120689655175,0.0344827586206896,2.1379310344827585,141.24137931034485,11016.827586206897,1.8000000000000005,True
23:10:27:14:26:14,SS_EfficientNetB1,4,4,2808.004,11.68,7.54,3.73,0.95,0.0,38.59111111111112,35.99555555555555,0.0296296296296296,2.088888888888889,121.36296296296295,11226.074074074077,1.9000000000000008,True
23:10:27:14:26:33,SS_ConvNeXtXLarge,4,4,2808.004,11.68,6.13,5.14,0.95,0.0,39.64954128440369,40.494495412843975,0.0596330275229357,1.3669724770642202,375.7798165137615,7440.440366972477,8.299999999999986,True
23:10:27:14:26:37,SS_VGG19,4,4,2808.004,11.68,5.63,5.64,0.95,0.0,40.13408071748882,40.76053811659187,0.0582959641255605,1.336322869955157,367.3542600896861,7273.614349775785,0.5,True
23:10:27:14:26:47,SS_EfficientNetB5,4,4,2808.004,11.68,6.97,4.29,0.95,0.0,40.20038759689923,40.64922480620154,0.065891472868217,1.302325581395349,2349.6434108527133,9620.837209302326,3.5000000000000018,True
23:10:27:14:28:05,ResNet50,4,4,2808.004,11.68,7.71,3.56,0.95,0.0,29.890000000000004,33.71999999999999,0.2,0.0,1638.4,0.0,1.0,True
23:10:27:14:28:11,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.75,3.52,0.95,0.0,33.55862068965517,33.603448275862064,0.0689655172413793,0.7931034482758621,564.9655172413793,3389.793103448276,1.9000000000000008,True
23:10:27:14:28:25,SS_ConvNeXtBase,4,4,2808.004,11.68,7.4,3.87,0.95,0.0,35.98780487804878,35.609756097560975,43.24390243902439,8.304878048780488,564948.2926829269,49002.14634146341,5.299999999999997,True
23:10:27:14:28:29,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.43,3.85,0.95,0.0,35.65979381443299,35.73711340206187,36.55670103092783,7.350515463917525,477585.1546391753,42944.65979381443,1.5000000000000002,True
23:10:27:14:28:36,SS_ResNet101,4,4,2808.004,11.68,7.2,4.07,0.95,0.0,36.114782608695656,36.16000000000002,68.85217391304347,12.68695652173913,835014.1217391305,74440.34782608696,1.8000000000000005,True
23:10:27:14:28:42,SS_EfficientNetB1,4,4,2808.004,11.68,7.54,3.73,0.95,0.0,35.83834586466167,36.10375939849629,59.53383458646616,11.270676691729324,722004.6917293234,67753.38345864661,1.8000000000000005,True
23:10:27:14:29:13,SS_ConvNeXtXLarge,4,4,2808.004,11.68,6.11,5.16,0.95,0.0,39.799086757990885,40.78812785388136,36.17351598173516,7.378995433789954,438552.5479452055,45523.5799086758,8.599999999999985,True
23:10:27:14:29:16,SS_VGG19,4,4,2808.004,11.68,5.62,5.66,0.95,0.0,40.258035714285725,41.05491071428578,35.36607142857143,7.214285714285714,428763.4285714286,44507.42857142857,0.5,True
23:10:27:14:29:27,SS_EfficientNetB5,4,4,2808.004,11.68,6.96,4.3,0.95,0.0,41.310305343511445,40.87557251908402,71.26717557251908,12.263358778625957,662645.251908397,80997.61832061068,3.800000000000002,True
23:10:27:14:29:33,SS_EfficientNetB2,4,4,2808.004,11.68,7.49,3.78,0.95,0.0,40.84107142857142,40.55928571428574,66.68571428571428,11.517857142857142,620046.6285714286,76053.94285714286,1.8000000000000005,True
23:10:27:14:31:16,ResNet50,4,4,2808.004,11.68,7.63,3.61,0.95,0.0,30.95,34.42,0.0,0.0,0.0,0.0,1.0,True
23:10:27:14:31:22,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.73,3.54,0.95,0.0,35.56206896551725,34.07586206896549,0.0,0.4137931034482758,0.0,2259.862068965517,1.9000000000000008,True
23:10:27:14:31:33,SS_ConvNeXtBase,4,4,2808.004,11.68,7.38,3.9,0.95,0.0,40.28720930232558,35.9244186046511,0.0232558139534883,0.4883720930232558,95.25581395348836,2952.93023255814,5.699999999999996,True
23:10:27:14:31:38,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.38,3.87,0.95,0.0,40.95098039215687,36.04999999999993,0.1764705882352941,6.519607843137255,2730.6666666666665,44815.05882352941,1.6000000000000003,True
23:10:27:14:31:44,SS_ResNet101,4,4,2808.004,11.68,7.18,4.09,0.95,0.0,41.01983471074381,36.46363636363629,0.1487603305785124,5.644628099173554,2301.884297520661,38793.52066115703,1.9000000000000008,True
23:10:27:14:31:51,SS_EfficientNetB1,4,4,2808.004,11.68,7.49,3.76,0.95,0.0,41.70425531914895,36.40921985815596,0.1276595744680851,5.035460992907802,1975.3758865248224,34394.78014184397,2.0000000000000004,True
23:10:27:14:32:13,SS_ConvNeXtXLarge,4,4,2808.004,11.68,6.13,5.15,0.95,0.0,51.849173553719,41.34586776859498,0.3636363636363636,10.301652892561984,6888.727272727273,111269.02479338842,10.09999999999998,True
23:10:27:14:32:22,SS_VGG19,4,4,2808.004,11.68,5.62,5.65,0.95,0.0,52.00161943319837,41.57692307692301,0.3562753036437247,10.093117408906885,6749.27935222672,109016.6153846154,0.5,True
23:10:27:14:32:32,SS_EfficientNetB5,4,4,2808.004,11.68,6.97,4.29,0.95,0.0,51.14,41.35052631578943,0.3087719298245614,8.807017543859649,5849.375438596491,94912.2245614035,3.800000000000002,True
23:10:27:14:32:39,SS_EfficientNetB2,4,4,2808.004,11.68,7.44,3.81,0.95,0.0,51.080906148867314,40.95177993527506,0.284789644012945,8.546925566343042,5395.05501618123,101432.33656957927,2.400000000000001,True
23:10:27:14:32:43,SS_MobileNet,4,4,2808.004,11.68,7.36,3.89,0.95,0.0,50.83980891719745,40.8904458598726,0.2802547770700637,8.410828025477707,5309.146496815287,99817.1719745223,0.5,True
23:10:27:14:32:58,SS_ResNet50V2,4,4,2808.004,11.68,7.14,4.11,0.95,0.0,50.44705882352941,40.83034055727554,0.2724458204334365,8.176470588235293,5161.213622291021,97035.88854489164,0.8999999999999999,True
23:10:27:14:35:13,ResNet50,4,4,2808.004,11.68,7.66,3.57,0.95,0.0,38.97272727272728,34.21818181818181,0.0,0.0,0.0,0.0,1.1,True
23:10:27:14:35:24,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.71,3.53,0.95,0.0,37.50333333333333,34.076666666666654,0.0,2.5,0.0,14745.6,1.9000000000000008,True
23:10:27:14:35:43,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.75,3.5,0.95,0.0,36.332,33.924,0.0,1.74,0.0,10158.08,2.0000000000000004,True
23:10:27:14:35:54,SS_ConvNeXtBase,4,4,2808.004,11.68,7.34,3.92,0.95,0.0,36.7875,35.51153846153845,0.0,2.1153846153846154,0.0,15044.923076923076,5.399999999999997,True
23:10:27:14:35:58,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.36,3.9,0.95,0.0,36.74117647058824,35.69495798319327,0.0,1.949579831932773,0.0,13768.067226890757,1.5000000000000002,True
23:10:27:14:36:04,SS_ResNet101,4,4,2808.004,11.68,7.18,4.08,0.95,0.0,38.89855072463768,36.09855072463767,0.1304347826086956,14.485507246376812,2374.4927536231885,102459.36231884058,1.9000000000000008,True
23:10:27:14:36:10,SS_EfficientNetB1,4,4,2808.004,11.68,7.7,3.55,0.95,0.0,38.471069182389954,36.08364779874214,0.1132075471698113,12.735849056603774,2060.880503144654,89854.38993710691,2.1000000000000005,True
23:10:27:14:36:29,SS_ConvNeXtXLarge,4,4,2808.004,11.68,6.31,4.94,0.95,0.0,39.473553719008265,39.60578512396694,0.0743801652892562,8.706611570247935,1354.0495867768595,61101.48760330579,8.299999999999986,True
23:10:27:14:36:32,SS_VGG19,4,4,2808.004,11.68,5.46,5.8,0.95,0.0,39.81781376518219,39.88097165991902,0.0728744939271255,8.530364372469636,1326.6396761133603,59864.61538461538,0.5,True
23:10:27:14:36:42,SS_EfficientNetB5,4,4,2808.004,11.68,6.96,4.29,0.95,0.0,39.607446808510645,39.89716312056731,0.0638297872340425,7.52127659574468,1161.985815602837,52783.20567375887,3.5000000000000018,True
23:10:27:14:36:47,SS_EfficientNetB2,4,4,2808.004,11.68,7.6,3.66,0.95,0.0,39.21716171617162,39.75115511551148,0.0594059405940594,7.05940594059406,1081.4521452145214,49530.508250825085,2.1000000000000005,True
23:10:27:14:36:49,SS_MobileNet,4,4,2808.004,11.68,7.6,3.66,0.95,0.0,39.20811688311689,39.68116883116876,0.0584415584415584,6.944805194805195,1063.8961038961038,48726.44155844156,0.5,True
23:10:27:14:36:52,SS_ResNet50V2,4,4,2808.004,11.68,7.27,3.98,0.95,0.0,39.14605678233439,39.620504731861125,0.056782334384858,6.747634069400631,1033.6908517350157,47343.04100946372,0.8999999999999999,True
23:10:27:14:37:00,SS_EfficientNetB4,4,4,2808.004,11.68,7.37,3.89,0.95,0.0,39.009482758620685,39.3663793103448,0.057471264367816,6.235632183908046,965.1494252873564,43690.66666666666,3.1000000000000014,False
23:10:27:14:38:00,ResNet50,4,4,2808.004,11.68,7.64,3.6,0.95,0.0,37.82000000000001,34.32000000000001,0.0,0.0,0.0,0.0,1.0,True
23:10:27:14:38:07,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.71,3.54,0.95,0.0,44.54,34.04666666666666,0.0,17.333333333333332,0.0,128068.26666666666,2.0000000000000004,True
23:10:27:14:51:46,ResNet50,4,4,2808.004,11.68,7.59,3.66,0.95,0.0,37.040000000000006,34.71999999999999,0.0,0.0,0.0,0.0,1.0,True
23:10:27:14:52:33,ResNet50,4,4,2808.004,11.68,7.62,3.62,0.95,0.0,31.72222222222222,34.58888888888889,0.0,0.0,0.0,0.0,0.8999999999999999,True
23:10:27:14:52:38,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.66,3.59,0.95,0.0,36.092857142857135,34.37500000000001,0.0,3.9642857142857135,0.0,17846.85714285714,1.9000000000000008,True
23:10:27:14:52:49,SS_ConvNeXtBase,4,4,2808.004,11.68,7.32,3.94,0.95,0.0,38.28048780487805,36.354878048780456,0.0,1.8902439024390243,0.0,9390.829268292682,5.399999999999997,True
23:10:27:14:52:54,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.72,3.54,0.95,0.0,38.01616161616162,35.96666666666666,0.0,1.696969696969697,0.0,8605.737373737375,1.7000000000000004,True
23:10:27:14:53:00,SS_ResNet101,4,4,2808.004,11.68,7.52,3.74,0.95,0.0,38.01623931623933,35.92136752136753,0.0,1.5982905982905984,0.0,8402.051282051281,1.8000000000000005,True
23:10:27:14:53:06,SS_EfficientNetB1,4,4,2808.004,11.68,7.69,3.56,0.95,0.0,38.21691176470589,35.653676470588216,0.0,1.4926470588235294,0.0,8011.294117647059,1.9000000000000008,True
23:10:27:14:53:26,SS_ConvNeXtXLarge,4,4,2808.004,11.68,6.38,4.9,0.95,0.0,40.13288288288291,39.71486486486482,0.0,1.2882882882882882,0.0,7084.972972972973,8.599999999999985,True
23:10:27:14:53:29,SS_VGG19,4,4,2808.004,11.68,5.51,5.77,0.95,0.0,40.81762114537448,40.00308370044047,0.0,1.2599118942731278,0.0,6928.916299559472,0.5,True
23:10:27:14:53:40,SS_EfficientNetB5,4,4,2808.004,11.68,6.53,4.75,0.95,0.0,41.89325842696631,41.13258426966285,0.0,1.1760299625468165,0.0,6535.191011235955,4.000000000000002,True
23:10:27:14:53:45,SS_EfficientNetB2,4,4,2808.004,11.68,7.45,3.82,0.95,0.0,41.65122807017545,40.81929824561398,0.0,1.143859649122807,0.0,6409.880701754386,1.8000000000000005,True
23:10:27:14:53:46,SS_MobileNet,4,4,2808.004,11.68,7.35,3.93,0.95,0.0,41.72655172413794,40.753793103448224,0.0,1.1241379310344828,0.0,6299.365517241379,0.5,True
23:10:27:14:53:49,SS_ResNet50V2,4,4,2808.004,11.68,7.15,4.12,0.95,0.0,41.48060200668897,40.69130434782605,0.0,1.0903010033444815,0.0,6109.752508361204,0.8999999999999999,True
23:10:27:14:53:57,SS_EfficientNetB4,4,4,2808.004,11.68,7.48,3.79,0.95,0.0,41.106748466257656,40.269018404907925,0.0,1.125766871165644,0.0,6533.496932515337,2.700000000000001,False
23:10:27:14:54:02,SS_ConvNeXtTiny,4,4,2808.004,11.68,7.33,3.94,0.95,0.0,40.720170454545446,40.0397727272727,0.0,1.1392045454545454,0.0,6702.545454545455,2.600000000000001,True
23:10:27:14:57:19,ResNet50,4,4,2808.004,11.68,7.56,3.7,0.95,0.0,30.94545454545455,35.10909090909092,15.636363636363637,23.90909090909091,64046.545454545456,145221.81818181818,1.1,True
23:10:27:14:57:25,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.61,3.65,0.95,0.0,36.4,34.92333333333336,5.733333333333333,9.366666666666667,23483.733333333334,56797.86666666667,1.9000000000000008,True
23:10:27:14:57:36,SS_ConvNeXtBase,4,4,2808.004,11.68,7.31,3.97,0.95,0.0,39.28235294117648,36.52705882352942,4.047058823529412,10.717647058823529,16576.75294117647,63897.6,5.4999999999999964,True
23:10:27:14:57:40,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.71,3.57,0.95,0.0,38.69100000000001,36.177000000000014,3.44,9.25,14090.24,55214.08,1.5000000000000002,True
23:10:27:14:57:46,SS_ResNet101,4,4,2808.004,11.68,7.51,3.77,0.95,0.0,38.96083333333333,36.10833333333336,2.8666666666666667,7.85,11741.866666666669,46967.46666666667,2.0000000000000004,True
23:10:27:14:57:51,SS_EfficientNetB1,4,4,2808.004,11.68,7.68,3.6,0.95,0.0,38.36304347826087,35.84927536231888,2.4927536231884058,6.956521739130435,10210.31884057971,41731.710144927536,1.8000000000000005,True
23:10:27:14:58:11,SS_ConvNeXtXLarge,4,4,2808.004,11.68,6.36,4.92,0.95,0.0,39.97072072072074,39.68783783783784,1.5495495495495497,4.635135135135135,6346.954954954955,28007.783783783783,8.399999999999986,True
23:10:27:14:58:14,SS_VGG19,4,4,2808.004,11.68,5.53,5.74,0.95,0.0,40.56828193832601,39.97180616740089,2.2731277533039647,8.374449339207048,9310.73127753304,53374.308370044055,0.5,True
23:10:27:14:58:24,SS_EfficientNetB5,4,4,2808.004,11.68,6.5,4.78,0.95,0.0,40.837642585551336,41.02395437262357,1.961977186311787,7.330798479087452,8036.258555133079,46691.28517110266,3.600000000000002,True
23:10:27:14:58:29,SS_EfficientNetB2,4,4,2808.004,11.68,7.45,3.82,0.95,0.0,40.57046263345197,40.69928825622776,1.8362989323843413,6.903914590747331,7521.480427046264,43991.91459074733,1.8000000000000005,True
23:10:27:14:58:31,SS_MobileNet,4,4,2808.004,11.68,7.39,3.88,0.95,0.0,40.66083916083917,40.62762237762239,1.804195804195804,6.783216783216783,7389.986013986014,43222.82517482517,0.5,True
23:10:27:14:58:34,SS_ResNet50V2,4,4,2808.004,11.68,7.16,4.11,0.95,0.0,40.55102040816328,40.57040816326531,2.3401360544217686,10.03061224489796,9585.197278911564,65563.86394557822,0.7999999999999999,True
23:10:27:14:58:41,SS_EfficientNetB4,4,4,2808.004,11.68,7.49,3.78,0.95,0.0,40.070897832817344,40.11950464396283,2.130030959752322,9.185758513931887,8724.606811145512,60108.48297213623,2.900000000000001,False
23:10:27:14:58:47,SS_ConvNeXtTiny,4,4,2808.004,11.68,7.34,3.93,0.95,0.0,39.79426934097422,39.87478510028652,2.464183381088825,11.7134670487106,10093.295128939828,77601.00859598853,2.600000000000001,True
23:10:27:15:00:52,ResNet50,4,4,2808.004,11.68,7.6,3.67,0.95,0.0,38.760000000000005,34.7,0.0,0.0,0.0,0.0,1.0,True
23:10:27:15:00:59,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.65,3.62,0.95,0.0,47.14242424242425,34.58484848484848,0.0606060606060606,2.272727272727273,992.969696969697,20107.636363636364,2.3000000000000007,True
23:10:27:15:01:11,SS_ConvNeXtBase,4,4,2808.004,11.68,7.25,4.02,0.95,0.0,50.59893617021276,36.53617021276601,0.4893617021276595,3.670212765957447,22833.021276595744,47147.57446808511,6.099999999999994,True
23:10:27:15:01:16,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.67,3.61,0.95,0.0,50.97522123893804,36.18495575221243,0.4070796460176991,3.2920353982300883,18993.8407079646,44439.78761061947,1.9000000000000008,True
23:10:27:15:01:22,SS_ResNet101,4,4,2808.004,11.68,7.43,3.85,0.95,0.0,51.179699248120286,36.22105263157899,0.3609022556390977,3.172932330827068,16199.218045112782,41822.31578947369,2.0000000000000004,True
23:10:27:15:01:29,SS_EfficientNetB1,4,4,2808.004,11.68,7.65,3.62,0.95,0.0,51.3516129032258,35.97935483870971,0.7612903225806451,9.148387096774194,29121.23870967742,98673.96129032258,2.2000000000000006,True
23:10:27:15:01:53,SS_ConvNeXtXLarge,4,4,2808.004,11.68,6.28,5.01,0.95,0.0,58.65746268656716,40.373507462686646,0.5149253731343284,6.768656716417911,17392.716417910447,77885.13432835821,11.299999999999976,True
23:10:27:15:01:56,SS_VGG19,4,4,2808.004,11.68,5.49,5.78,0.95,0.0,58.87509157509157,40.60219780219786,0.5054945054945055,6.644688644688645,17074.1684981685,76458.66666666667,0.5,True
23:10:27:15:02:08,SS_EfficientNetB5,4,4,2808.004,11.68,6.36,4.91,0.95,0.0,59.19754601226995,41.76042944785286,0.4233128834355828,5.644171779141105,14298.306748466255,64505.71779141104,5.299999999999997,True
23:10:27:15:02:15,SS_EfficientNetB2,4,4,2808.004,11.68,7.39,3.88,0.95,0.0,59.014121037464,41.46023054755052,0.3976945244956772,5.357348703170029,13432.991354466858,61003.250720461096,2.1000000000000005,True
23:10:27:15:02:16,SS_MobileNet,4,4,2808.004,11.68,7.31,3.96,0.95,0.0,58.882102272727295,41.401136363636446,0.3920454545454545,5.318181818181818,13242.181818181818,60392.72727272727,0.5,True
23:10:27:15:02:20,SS_ResNet50V2,4,4,2808.004,11.68,7.1,4.17,0.95,0.0,58.761049723756926,41.337292817679646,1.1546961325966851,10.447513812154696,22199.86740331492,125233.50276243094,1.0,True
23:10:27:15:02:29,SS_EfficientNetB4,4,4,2808.004,11.68,7.38,3.88,0.95,0.0,58.491116751269054,40.93197969543156,1.0609137055837563,9.695431472081218,20396.832487309646,115696.40609137056,3.200000000000001,False
23:10:27:15:02:34,SS_ConvNeXtTiny,4,4,2808.004,11.68,7.27,4.0,0.95,0.0,57.86769596199527,40.71971496437065,1.0166270783847982,9.147268408551067,19224.931116389547,108762.90736342044,2.700000000000001,True
23:10:27:15:02:46,SS_InceptionResNetV2,4,4,2808.004,11.68,7.2,4.06,0.95,0.0,57.72244008714598,40.51786492374733,0.954248366013072,8.494553376906318,18008.122004357298,100990.04793028322,3.800000000000002,True
23:10:27:15:03:51,SS_VGG16,4,4,2808.004,11.68,6.73,4.56,0.95,0.0,57.670626349892025,40.53995680345579,0.9460043196544276,8.421166306695465,17852.544276457884,100117.5637149028,0.4,True
23:10:27:15:08:57,ResNet50,4,4,2808.004,11.68,7.58,3.68,0.95,0.0,58.96153846153846,34.96923076923076,0.0,1.9230769230769231,0.0,16384.0,1.3,True
23:10:27:15:09:04,SS_EfficientNetV2B2,4,4,2808.004,11.68,7.62,3.66,0.95,0.0,46.769696969696966,34.772727272727266,0.0,1.6666666666666667,0.0,12660.363636363636,2.0000000000000004,True
23:10:27:15:09:16,SS_ConvNeXtBase,4,4,2808.004,11.68,7.28,3.99,0.95,0.0,49.23617021276595,36.484042553191465,0.1276595744680851,1.9148936170212767,1307.2340425531916,31983.659574468085,6.099999999999994,True
23:10:27:15:09:21,SS_EfficientNetV2B0,4,4,2808.004,11.68,7.74,3.54,0.95,0.0,49.77017543859648,36.03596491228068,0.2807017543859649,10.324561403508772,2443.2280701754385,99956.77192982456,2.0000000000000004,True
23:10:27:15:09:28,SS_ResNet101,4,4,2808.004,11.68,7.49,3.78,0.95,0.0,49.30820895522387,36.005223880597,0.4477611940298507,17.70149253731343,3484.6567164179105,160416.4776119403,2.0000000000000004,True
23:10:27:15:09:34,SS_EfficientNetB1,4,4,2808.004,11.68,7.7,3.57,0.95,0.0,47.76447368421052,35.75592105263156,0.3947368421052631,15.697368421052632,3072.0,142012.63157894736,1.8000000000000005,True
23:10:27:15:10:22,SS_ConvNeXtXLarge,4,4,2808.004,11.68,5.76,5.52,0.95,0.49,46.57078189300413,41.43456790123465,0.2469135802469135,9.962962962962964,1921.58024691358,89640.03292181069,9.099999999999984,True
23:10:27:15:10:31,SS_VGG19,4,4,2808.004,11.68,5.51,5.77,0.95,0.49,46.51659919028341,41.61862348178145,0.242914979757085,9.80161943319838,1890.4615384615383,88188.37246963562,0.4,True
23:10:27:15:10:40,SS_EfficientNetB5,4,4,2808.004,11.68,7.77,3.51,0.95,0.49,45.619642857142864,40.76178571428575,0.2285714285714285,8.689285714285715,3423.0857142857144,78087.31428571428,3.3000000000000016,True
23:10:27:15:10:45,SS_EfficientNetB2,4,4,2808.004,11.68,7.87,3.42,0.95,0.49,44.926510067114094,40.26442953020136,176.48322147651007,442.9261744966443,5006164.187919463,3625564.77852349,1.8000000000000005,True
23:10:27:15:10:47,SS_MobileNet,4,4,2808.004,11.68,7.85,3.43,0.95,0.49,44.75478547854786,40.14554455445546,173.57095709570956,435.6798679867987,4923554.217821782,3566223.6303630364,0.5,True
23:10:27:15:10:51,SS_ResNet50V2,4,4,2808.004,11.68,7.57,3.71,0.95,0.49,44.446623794212215,40.01350482315114,341.04501607717043,841.2861736334405,9603183.948553056,6879831.254019293,0.7999999999999999,True
23:10:27:15:10:59,SS_EfficientNetB4,4,4,2808.004,11.68,7.91,3.38,0.95,0.49,43.87181008902076,39.39762611275963,314.73293768545994,776.4154302670623,8862285.483679526,6349310.480712166,2.600000000000001,False
23:10:27:15:11:06,SS_ConvNeXtTiny,4,4,2808.004,11.68,7.81,3.48,0.95,0.49,43.05851648351647,38.94615384615385,440.3626373626374,1075.2527472527472,12319867.78021978,8789925.978021977,2.700000000000001,True
23:10:27:15:11:16,SS_InceptionResNetV2,4,4,2808.004,11.68,7.6,3.69,0.95,0.49,42.60839694656487,38.64427480916027,407.8727735368957,995.944020356234,11410788.96692112,8142577.017811704,2.900000000000001,True
23:10:27:15:11:25,SS_VGG16,4,4,2808.004,11.68,7.1,4.19,0.95,0.49,42.64861460957178,38.66574307304783,403.7632241813602,985.9093198992445,11295818.801007556,8060535.939546599,0.4,True
23:10:27:15:11:36,SS_EfficientNetB0,4,4,2808.004,11.68,7.92,3.37,0.95,0.49,42.22634146341461,38.469268292682905,609.4365853658536,1271.6780487804879,15094679.102439024,10394589.03414634,1.3,True
